unicode_id,sign_grapheme,transliteration
U+121C9,𒇉,lagab × hal
U+121CA,𒇊,lagab × hi × nun
U+121CB,𒇋,lagab × igi gunu
U+121CC,𒇌,lagab × im
U+121CD,𒇍,lagab × im + ha
U+121CE,𒇎,lagab × im + lu
U+121CF,𒇏,lagab × ki
U+121D0,𒇐,lagab × kin
U+121D1,𒇑,lagab × ku₃
U+121D2,𒇒,lagab × kul
U+121D3,𒇓,lagab × kul + hi + a
U+121D4,𒇔,lagab × lagab
U+121D5,𒇕,lagab × lish
U+121D6,𒇖,lagab × lu
U+121D7,𒇗,lagab × lul
U+121D8,𒇘,lagab × me
U+121D9,𒇙,lagab × me + en
U+121DA,𒇚,lagab × mush
U+121DB,𒇛,lagab × ne
U+121DC,𒇜,lagab × she + sum
U+121DD,𒇝,lagab × shita + gish + erin₂
U+121DE,𒇞,lagab × shita + gish tenu
U+121DF,𒇟,lagab × shu₂
U+121E0,𒇠,lagab × shu₂ + shu₂
U+121E1,𒇡,lagab × sum
U+121E2,𒇢,lagab × tag
U+121E3,𒇣,lagab × tak₄
U+121E4,𒇤,lagab × te + a + su + na
U+121E5,𒇥,lagab × u
U+121E6,𒇦,lagab × u + a
U+121E7,𒇧,lagab × u + u + u
U+121E8,𒇨,lagab × u₂ + ash
U+121E9,𒇩,lagab × ud
U+121EA,𒇪,lagab × ush
U+121EB,𒇫,lagab squared
U+121EC,𒇬,lagar
U+121ED,𒇭,lagar × she
U+121EE,𒇮,lagar × she + sum
U+121EF,𒇯,lagar gunu
U+121F0,𒇰,lagar gunu / lagar gunu she
U+121F1,𒇱,lahshu
U+121F2,𒇲,lal
U+121F3,𒇳,lal × lal
U+121F4,𒇴,lam
U+121F5,𒇵,lam × kur
U+121F6,𒇶,lam × kur + ru
U+121F7,𒇷,li
U+121F8,𒇸,lil
U+121F9,𒇹,limmu₂
U+121FA,𒇺,lish
U+121FB,𒇻,lu
U+121FC,𒇼,lu × bad
U+121FD,𒇽,lu₂
U+121FE,𒇾,lu₂ × al
U+121FF,𒇿,lu₂ × bad
U+12200,𒈀,lu₂ × esh₂
U+12201,𒈁,lu₂ × esh₂ tenu
U+12202,𒈂,lu₂ × gan₂ tenu
U+12203,𒈃,lu₂ × hi × bad
U+12204,𒈄,lu₂ × im
U+12205,𒈅,lu₂ × kad₂
U+12206,𒈆,lu₂ × kad₃
U+12207,𒈇,lu₂ × kad₃ + ash
U+12208,𒈈,lu₂ × ki
U+12209,𒈉,lu₂ × la + ash
U+1220A,𒈊,lu₂ × lagab
U+1220B,𒈋,lu₂ × me + en
U+1220C,𒈌,lu₂ × ne
U+1220D,𒈍,lu₂ × nu
U+1220E,𒈎,lu₂ × si + ash
U+1220F,𒈏,lu₂ × sik₂ + bu
U+12210,𒈐,lu₂ × tug₂
U+12211,𒈑,lu₂ tenu
U+12212,𒈒,lu₂ crossing lu₂
U+12213,𒈓,lu₂ opposing lu₂
U+12214,𒈔,lu₂ squared
U+12215,𒈕,lu₂ sheshig
U+12216,𒈖,lu₃
U+12217,𒈗,lugal
U+12218,𒈘,lugal / lugal
U+12219,𒈙,lugal opposing lugal
U+1221A,𒈚,lugal sheshig
U+1221B,𒈛,luh
U+1221C,𒈜,lul
U+1221D,𒈝,lum
U+1221E,𒈞,lum / lum
U+1221F,𒈟,lum / lum gar / gar
U+12220,𒈠,ma
U+12221,𒈡,ma × tak₄
U+12222,𒈢,ma gunu
U+12223,𒈣,ma₂
U+12224,𒈤,mah
U+12225,𒈥,mar
U+12226,𒈦,mash
U+12227,𒈧,mash₂
U+12228,𒈨,me
U+12229,𒈩,mes
U+1222A,𒈪,mi
U+1222B,𒈫,min
U+1222C,𒈬,mu
U+1222D,𒈭,mu / mu
U+1222E,𒈮,mug
U+1222F,𒈯,mug gunu
U+12230,𒈰,munsub
U+12231,𒈱,murgu₂
U+12232,𒈲,mush
U+12233,𒈳,mush × a
U+12234,𒈴,mush × kur
U+12235,𒈵,mush × za
U+12236,𒈶,mush / mush
U+12237,𒈷,mush / mush × a + na
U+12238,𒈸,mush crossing mush
U+12239,𒈹,mush₃
U+1223A,𒈺,mush₃ × a
U+1223B,𒈻,mush₃ × a + di
U+1223C,𒈼,mush₃ × di
U+1223D,𒈽,mush₃ gunu
U+1223E,𒈾,na
U+1223F,𒈿,na₂
U+12240,𒉀,naga
U+12241,𒉁,naga inv.
U+12242,𒉂,naga × shu tenu
U+12243,𒉃,naga opposing naga
U+12244,𒉄,nagar
U+12245,𒉅,nam nutillu
U+12246,𒉆,nam
U+12247,𒉇,nam₂
U+12248,𒉈,ne
U+12249,𒉉,ne × a
U+1224A,𒉊,ne × ud
U+1224B,𒉋,ne sheshig
U+1224C,𒉌,ni
U+1224D,𒉍,ni × e
U+1224E,𒉎,ni₂
U+1224F,𒉏,nim
U+12250,𒉐,nim × gan₂ tenu
