unicode_id,sign_grapheme,sign_trlitScien,sign_phonetic,sign_translation,sign_type,is_compound,component_position,word_id,confidence,source,artifact_id,corpus_id,genre_name,provenance,modern,archaeological_context,period_index,period_dates,languages,is_school_text,genre_uncertain,period_uncertain,provenience_uncertain
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_125,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12165,𒅥,|KA×GAR|,gu7,,SYLL,SIMPLE,,P229166_126,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_127,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12129,𒄩,HA,HA,,LOGO,SIMPLE,,P229166_128,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1202D,𒀭,AN,AN,,LOGO,SIMPLE,,P229166_128,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1224C,𒉌,NI,NI,,LOGO,SIMPLE,,P229166_128,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_129,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1207E,𒁾,DUB,dub,,SYLL,SIMPLE,,P229166_130,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12306,𒌆,TUG₂,TUG2,,LOGO,SIMPLE,,P229166_130,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1224C,𒉌,NI,NI,,LOGO,SIMPLE,,P229166_130,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_132,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12300,𒌀,TIL,šumun,,SYLL,SIMPLE,,P229166_133,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12104,𒄄,GI₄,gi4,,SYLL,SIMPLE,,P229166_133,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_135,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+122FE,𒋾,TI,ti,,SYLL,SIMPLE,,P229166_136,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12044,𒁄,BAL,bala,,SYLL,SIMPLE,,P229166_136,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_138,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12220,𒈠,MA,ma,,SYLL,SIMPLE,,P229166_139,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_141,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12085,𒂅,DUN₃,tun3,,SYLL,SIMPLE,,P229166_142,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_144,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12040,𒁀,BA,ba,,SYLL,SIMPLE,,P229166_145,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_147,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12040,𒁀,BA,ba,,SYLL,SIMPLE,,P229166_148,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_150,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
,,X,x,,SYLL,SIMPLE,,P229166_152,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_153,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12040,𒁀,BA,ba,,SYLL,SIMPLE,,P229166_154,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+122BA,𒊺,ŠE,še,,SYLL,SIMPLE,,P229166_154,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
