unicode_id,sign_grapheme,sign_source,sign_structure,structural_hint,component_position,sign_name,allograph_form,graphic_variant_id,sign_type,compound_form,compound_grapheme,compound_unicode,unicodeTrLit,syllabary_sign,typePhonetic_Version,phonetic_version,signList_analogue
U+12129,𒄩,OSL,compound,,3,|A.HA.TAR.DU|,|A.BU.HA|,AHATARDU_v3,Type_2,|A.BU.HA|,𒀀𒁍𒄩,U+12000; U+1204D; U+12129,ha,HA,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.HA.TAR.DU|,|A.BU.HA.DU|,AHATARDU_v4,Type_2,|A.BU.HA.DU|,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,a,A,No Attested Compound Reading,,
U+1204D,𒁍,OSL,compound,,2,|A.HA.TAR.DU|,|A.BU.HA.DU|,AHATARDU_v4,Type_2,|A.BU.HA.DU|,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,bu,BU,No Attested Compound Reading,,
U+12129,𒄩,OSL,compound,,3,|A.HA.TAR.DU|,|A.BU.HA.DU|,AHATARDU_v4,Type_2,|A.BU.HA.DU|,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,ha,HA,No Attested Compound Reading,,
U+1207A,𒁺,OSL,compound,,4,|A.HA.TAR.DU|,|A.BU.HA.DU|,AHATARDU_v4,Type_2,|A.BU.HA.DU|,𒀀𒁍𒄩𒁺,U+12000; U+1204D; U+12129; U+1207A,du,DU,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,AHATARDU_v5,Type_2,|A.BU.HA.NI.DU|,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,a,A,No Attested Compound Reading,,
U+1204D,𒁍,OSL,compound,,2,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,AHATARDU_v5,Type_2,|A.BU.HA.NI.DU|,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,bu,BU,No Attested Compound Reading,,
U+12129,𒄩,OSL,compound,,3,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,AHATARDU_v5,Type_2,|A.BU.HA.NI.DU|,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,ha,HA,No Attested Compound Reading,,
U+1224C,𒉌,OSL,compound,,4,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,AHATARDU_v5,Type_2,|A.BU.HA.NI.DU|,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,ni,NI,No Attested Compound Reading,,
U+1207A,𒁺,OSL,compound,,5,|A.HA.TAR.DU|,|A.BU.HA.NI.DU|,AHATARDU_v5,Type_2,|A.BU.HA.NI.DU|,𒀀𒁍𒄩𒉌𒁺,U+12000; U+1204D; U+12129; U+1224C; U+1207A,du,DU,No Attested Compound Reading,,
